Folder,File Name,File Size (KB),File Type
D:\resume-Rishu\.......ATS_Score_91,Rishu_R_8.4YOEx_Full-Stack-Developer-v1.docx,32.11,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91,Rishu_R_8.4YOEx_Full-Stack-Developer-v1.pdf,180.61,application/pdf
D:\resume-Rishu\.......ATS_Score_91\Angular,Rishu_R_8.4YOEx_Full-Stack-Developer-v3.docx,32.1,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\Angular,Rishu_R_8.4YOEx_Full-Stack-Developer-v3.pdf,179.9,application/pdf
D:\resume-Rishu\.......ATS_Score_91\Asp dot net,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,30.97,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\Asp dot net,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,167.27,application/pdf
D:\resume-Rishu\.......ATS_Score_91\CRM,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,30.98,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\CRM,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,166.8,application/pdf
D:\resume-Rishu\.......ATS_Score_91\Emerson,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,30.4,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\Emerson,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,165.88,application/pdf
D:\resume-Rishu\.......ATS_Score_91\EY,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,31.97,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\EY,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,169.97,application/pdf
D:\resume-Rishu\.......ATS_Score_91\JapaneseComp-6months,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,32.05,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\JapaneseComp-6months,Rishu_R_8.3YOEx_Full-Stack-Developer-v3.docx,32.08,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\JapaneseComp-6months,Rishu_R_8.3YOEx_Full-Stack-Developer-v3.pdf,180.21,application/pdf
D:\resume-Rishu\.......ATS_Score_91\MLM,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,31.81,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\MLM,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,179.37,application/pdf
D:\resume-Rishu\.......ATS_Score_91\Motherson,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,31.16,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\Motherson,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,163.12,application/pdf
D:\resume-Rishu\.......ATS_Score_91\Neuron-SRE,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,30.85,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\Neuron-SRE,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,162.75,application/pdf
D:\resume-Rishu\.......ATS_Score_91\Node,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,32.19,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\Node,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,180.16,application/pdf
D:\resume-Rishu\.......ATS_Score_91\Personkelly,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,31.84,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\Personkelly,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,180.21,application/pdf
D:\resume-Rishu\.......ATS_Score_91\Python,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,30.3,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\Python,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,166.95,application/pdf
D:\resume-Rishu\.......ATS_Score_91\Sciente,Rishu_R_8.2YOEx_Full-Stack-Developer-Sciente.pdf,170.52,application/pdf
D:\resume-Rishu\.......ATS_Score_91\Sciente,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,32.18,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\Sciente,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,170.42,application/pdf
D:\resume-Rishu\.......ATS_Score_91\total-ebiz-mysql,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.docx,31.86,application/vnd.openxmlformats-officedocument.wordprocessingml.document
D:\resume-Rishu\.......ATS_Score_91\total-ebiz-mysql,Rishu_R_8.2YOEx_Full-Stack-Developer-v3.pdf,169.76,application/pdf
